Instance,Algorithm,Run,InitialFitness,InitialSolution,FinalFitness,FinalSolution,TimeMs,Evaluations,Steps
bur26a.dat,RS,1,5789688,"[2, 12, 15, 0, 9, 25, 17, 14, 11, 19, 18, 4, 24, 3, 23, 20, 7, 8, 21, 6, 13, 1, 10, 22, 5, 16]",5522565,"[1, 22, 20, 16, 7, 9, 25, 5, 19, 3, 13, 18, 0, 8, 12, 21, 11, 4, 17, 10, 24, 23, 14, 15, 2, 6]",53.0067,92856,9
bur26a.dat,RS,2,6061214,"[12, 1, 19, 16, 17, 21, 23, 3, 15, 18, 9, 5, 4, 7, 22, 24, 6, 25, 8, 14, 13, 11, 20, 0, 2, 10]",5570286,"[2, 3, 8, 25, 1, 12, 11, 18, 16, 13, 4, 14, 20, 19, 21, 22, 7, 17, 6, 5, 24, 15, 9, 0, 23, 10]",38.2184,73720,8
bur26a.dat,RS,3,5927069,"[23, 14, 10, 0, 8, 2, 21, 24, 11, 16, 12, 17, 1, 18, 4, 3, 9, 6, 5, 22, 19, 7, 20, 15, 13, 25]",5554265,"[14, 22, 20, 24, 15, 11, 3, 25, 10, 17, 4, 0, 6, 13, 19, 16, 9, 8, 18, 23, 21, 12, 5, 2, 7, 1]",50.4234,99116,11
bur26a.dat,RS,4,5828127,"[7, 1, 6, 12, 17, 10, 2, 4, 22, 11, 25, 20, 24, 3, 23, 19, 0, 5, 9, 8, 16, 21, 18, 13, 14, 15]",5540545,"[14, 0, 6, 20, 3, 2, 11, 9, 22, 18, 8, 4, 19, 7, 15, 16, 12, 17, 25, 1, 24, 5, 23, 21, 10, 13]",46.964,92310,13
bur26a.dat,RS,5,5783511,"[18, 20, 14, 12, 11, 3, 10, 24, 8, 0, 5, 4, 25, 15, 17, 21, 7, 13, 1, 16, 23, 19, 9, 2, 22, 6]",5530604,"[24, 16, 22, 7, 3, 2, 21, 15, 14, 0, 6, 17, 19, 18, 11, 8, 13, 4, 20, 10, 5, 9, 25, 12, 1, 23]",9.637901,16849,7
bur26a.dat,RS,6,6175285,"[25, 11, 1, 15, 16, 19, 8, 10, 13, 23, 21, 5, 24, 6, 3, 0, 7, 12, 22, 20, 2, 18, 14, 9, 17, 4]",5551040,"[15, 11, 25, 18, 10, 23, 2, 24, 22, 14, 3, 19, 12, 6, 5, 20, 8, 13, 4, 7, 9, 16, 21, 17, 1, 0]",50.7612,106242,11
bur26a.dat,RS,7,5942961,"[16, 6, 2, 7, 23, 3, 8, 19, 10, 4, 24, 21, 12, 14, 9, 1, 13, 17, 11, 0, 18, 15, 25, 20, 5, 22]",5571137,"[16, 25, 12, 23, 13, 2, 24, 0, 19, 20, 3, 8, 11, 6, 18, 14, 4, 21, 10, 17, 5, 22, 7, 1, 15, 9]",24.3362,53857,11
bur26a.dat,RS,8,5972894,"[6, 4, 17, 24, 0, 13, 1, 2, 21, 20, 18, 19, 5, 15, 9, 12, 3, 10, 14, 11, 22, 7, 23, 25, 16, 8]",5493136,"[10, 18, 25, 7, 13, 16, 20, 0, 22, 11, 6, 17, 3, 12, 5, 2, 8, 4, 19, 15, 9, 1, 21, 23, 14, 24]",62.430099,152756,11
bur26a.dat,RS,9,5825388,"[1, 20, 11, 25, 13, 23, 14, 9, 3, 4, 18, 22, 24, 0, 5, 10, 8, 19, 15, 17, 21, 2, 16, 7, 12, 6]",5561223,"[16, 25, 11, 5, 14, 20, 22, 6, 7, 0, 8, 4, 13, 17, 21, 3, 1, 19, 18, 9, 2, 12, 23, 10, 24, 15]",66.2865,163963,13
bur26a.dat,RS,10,5941879,"[17, 23, 5, 12, 0, 2, 9, 20, 22, 19, 11, 21, 10, 6, 4, 3, 24, 16, 8, 15, 1, 18, 7, 25, 14, 13]",5521902,"[10, 23, 24, 11, 15, 1, 16, 14, 20, 2, 7, 19, 18, 17, 12, 0, 8, 4, 25, 21, 5, 9, 13, 22, 6, 3]",65.294601,162231,14
