Instance,Algorithm,Run,InitialFitness,InitialSolution,FinalFitness,FinalSolution,TimeMs,Evaluations,Steps
bur26a.dat,G-2swap,1,5985754,"[19, 1, 17, 2, 22, 11, 13, 6, 0, 5, 23, 25, 8, 12, 3, 24, 10, 9, 18, 20, 16, 14, 15, 21, 4, 7]",5715901,"[20, 10, 25, 8, 16, 0, 18, 1, 17, 2, 19, 4, 5, 11, 22, 13, 24, 12, 21, 15, 7, 6, 9, 3, 23, 14]",0.1208,46,10
bur26a.dat,G-2swap,2,5780706,"[7, 20, 8, 1, 15, 10, 18, 14, 6, 0, 2, 21, 3, 12, 11, 17, 5, 13, 4, 25, 24, 23, 16, 19, 22, 9]",5688022,"[23, 14, 22, 16, 3, 9, 13, 5, 2, 25, 0, 21, 4, 15, 8, 24, 1, 18, 19, 10, 7, 6, 11, 20, 12, 17]",0.1016,38,10
bur26a.dat,G-2swap,3,5920536,"[12, 4, 17, 10, 19, 2, 20, 15, 6, 0, 7, 3, 8, 18, 11, 9, 21, 13, 16, 24, 1, 25, 5, 14, 22, 23]",5685399,"[16, 25, 2, 15, 19, 12, 20, 11, 9, 18, 4, 5, 13, 8, 24, 10, 1, 17, 3, 0, 6, 21, 7, 14, 22, 23]",0.181,44,10
bur26a.dat,G-2swap,4,5908495,"[24, 1, 9, 25, 22, 10, 11, 15, 8, 2, 21, 17, 12, 4, 19, 0, 7, 5, 23, 3, 18, 14, 13, 6, 20, 16]",5698334,"[22, 11, 2, 16, 1, 24, 25, 4, 10, 0, 13, 6, 18, 12, 19, 20, 8, 15, 21, 9, 17, 23, 5, 14, 3, 7]",0.1617,42,10
bur26a.dat,G-2swap,5,5868729,"[18, 11, 3, 9, 24, 0, 14, 1, 4, 19, 17, 25, 2, 15, 10, 13, 7, 21, 12, 5, 6, 22, 8, 16, 23, 20]",5747313,"[7, 20, 25, 23, 6, 0, 3, 15, 8, 12, 5, 19, 2, 4, 22, 1, 9, 17, 13, 10, 11, 21, 16, 18, 24, 14]",0.1588,41,10
bur26a.dat,G-2swap,6,5849770,"[23, 3, 9, 24, 16, 2, 0, 1, 13, 25, 11, 19, 5, 17, 4, 15, 6, 12, 18, 21, 7, 20, 14, 22, 8, 10]",5736334,"[5, 21, 25, 11, 2, 14, 8, 17, 1, 10, 13, 18, 19, 23, 6, 24, 0, 4, 20, 22, 12, 7, 9, 16, 15, 3]",0.08,43,10
bur26a.dat,G-2swap,7,5940091,"[17, 10, 3, 24, 1, 8, 16, 25, 13, 14, 12, 2, 4, 15, 0, 19, 18, 21, 6, 11, 9, 22, 5, 7, 20, 23]",5753382,"[18, 25, 0, 20, 24, 1, 12, 7, 23, 16, 17, 19, 11, 2, 10, 5, 8, 21, 4, 22, 6, 15, 3, 14, 13, 9]",0.074,46,10
bur26a.dat,G-2swap,8,5998564,"[6, 10, 4, 15, 0, 20, 24, 7, 23, 1, 17, 3, 22, 19, 21, 13, 5, 25, 2, 9, 16, 12, 11, 8, 14, 18]",5806956,"[21, 11, 19, 10, 17, 6, 16, 2, 5, 22, 12, 7, 9, 3, 8, 0, 4, 23, 13, 25, 1, 24, 14, 15, 20, 18]",0.0634,37,10
bur26a.dat,G-2swap,9,5744827,"[10, 5, 18, 3, 19, 16, 2, 15, 8, 9, 20, 13, 7, 6, 21, 25, 23, 11, 4, 14, 22, 17, 24, 12, 0, 1]",5743627,"[10, 5, 18, 3, 19, 16, 2, 25, 8, 9, 20, 13, 7, 6, 21, 15, 23, 11, 4, 14, 22, 17, 24, 12, 0, 1]",0.0692,42,10
bur26a.dat,G-2swap,10,5803959,"[21, 6, 1, 8, 13, 19, 24, 3, 18, 4, 9, 0, 25, 22, 12, 10, 11, 17, 20, 2, 15, 14, 5, 23, 7, 16]",5657116,"[21, 2, 15, 1, 20, 24, 22, 16, 7, 4, 14, 17, 19, 5, 9, 0, 8, 13, 6, 18, 23, 3, 12, 11, 10, 25]",0.0793,50,10
