Instance,Algorithm,RandomStarts,Run,FinalFitness
bur26a.dat,G-2swap,1,1,5455755
bur26a.dat,S-2swap,1,1,5448371
bur26a.dat,SA,1,1,5443495
bur26a.dat,TS,1,1,5439740
bur26a.dat,G-2swap,1,2,5437297
bur26a.dat,S-2swap,1,2,5445415
bur26a.dat,SA,1,2,5427776
bur26a.dat,TS,1,2,5440559
bur26a.dat,G-2swap,1,3,5440112
bur26a.dat,S-2swap,1,3,5443570
bur26a.dat,SA,1,3,5434198
bur26a.dat,TS,1,3,5439115
bur26a.dat,G-2swap,1,4,5435871
bur26a.dat,S-2swap,1,4,5445603
bur26a.dat,SA,1,4,5437689
bur26a.dat,TS,1,4,5435035
bur26a.dat,G-2swap,1,5,5471766
bur26a.dat,S-2swap,1,5,5439069
bur26a.dat,SA,1,5,5437629
bur26a.dat,TS,1,5,5431548
bur26a.dat,G-2swap,2,1,5451925
bur26a.dat,S-2swap,2,1,5460485
bur26a.dat,SA,2,1,5434636
bur26a.dat,TS,2,1,5444144
bur26a.dat,G-2swap,2,2,5464594
bur26a.dat,S-2swap,2,2,5479916
bur26a.dat,SA,2,2,5434402
bur26a.dat,TS,2,2,5436339
bur26a.dat,G-2swap,2,3,5439802
bur26a.dat,S-2swap,2,3,5438271
bur26a.dat,SA,2,3,5443911
bur26a.dat,TS,2,3,5448047
bur26a.dat,G-2swap,2,4,5438933
bur26a.dat,S-2swap,2,4,5435930
bur26a.dat,SA,2,4,5435792
bur26a.dat,TS,2,4,5426670
bur26a.dat,G-2swap,2,5,5470106
bur26a.dat,S-2swap,2,5,5442545
bur26a.dat,SA,2,5,5432133
bur26a.dat,TS,2,5,5468039
bur26a.dat,G-2swap,3,1,5436469
bur26a.dat,S-2swap,3,1,5435154
bur26a.dat,SA,3,1,5436894
bur26a.dat,TS,3,1,5436819
bur26a.dat,G-2swap,3,2,5436378
bur26a.dat,S-2swap,3,2,5449062
bur26a.dat,SA,3,2,5434116
bur26a.dat,TS,3,2,5451733
bur26a.dat,G-2swap,3,3,5445305
bur26a.dat,S-2swap,3,3,5452241
bur26a.dat,SA,3,3,5434322
bur26a.dat,TS,3,3,5453296
bur26a.dat,G-2swap,3,4,5441751
bur26a.dat,S-2swap,3,4,5451550
bur26a.dat,SA,3,4,5434117
bur26a.dat,TS,3,4,5434322
bur26a.dat,G-2swap,3,5,5438678
bur26a.dat,S-2swap,3,5,5445139
bur26a.dat,SA,3,5,5448474
bur26a.dat,TS,3,5,5437593
bur26a.dat,G-2swap,4,1,5454045
bur26a.dat,S-2swap,4,1,5438276
bur26a.dat,SA,4,1,5438096
bur26a.dat,TS,4,1,5436581
bur26a.dat,G-2swap,4,2,5447793
bur26a.dat,S-2swap,4,2,5442108
bur26a.dat,SA,4,2,5434555
bur26a.dat,TS,4,2,5444633
bur26a.dat,G-2swap,4,3,5443221
bur26a.dat,S-2swap,4,3,5462182
bur26a.dat,SA,4,3,5445915
bur26a.dat,TS,4,3,5431727
bur26a.dat,G-2swap,4,4,5446658
bur26a.dat,S-2swap,4,4,5436867
bur26a.dat,SA,4,4,5432486
bur26a.dat,TS,4,4,5434636
bur26a.dat,G-2swap,4,5,5447896
bur26a.dat,S-2swap,4,5,5443211
bur26a.dat,SA,4,5,5448654
bur26a.dat,TS,4,5,5437593
bur26a.dat,G-2swap,5,1,5437362
bur26a.dat,S-2swap,5,1,5443547
bur26a.dat,SA,5,1,5434116
bur26a.dat,TS,5,1,5435203
bur26a.dat,G-2swap,5,2,5445660
bur26a.dat,S-2swap,5,2,5445977
bur26a.dat,SA,5,2,5442251
bur26a.dat,TS,5,2,5438169
bur26a.dat,G-2swap,5,3,5441899
bur26a.dat,S-2swap,5,3,5445845
bur26a.dat,SA,5,3,5444661
bur26a.dat,TS,5,3,5437986
bur26a.dat,G-2swap,5,4,5445092
bur26a.dat,S-2swap,5,4,5450777
bur26a.dat,SA,5,4,5437905
bur26a.dat,TS,5,4,5444511
bur26a.dat,G-2swap,5,5,5468496
bur26a.dat,S-2swap,5,5,5453505
bur26a.dat,SA,5,5,5439132
bur26a.dat,TS,5,5,5441398
bur26a.dat,G-2swap,6,1,5446798
bur26a.dat,S-2swap,6,1,5431819
bur26a.dat,SA,6,1,5439531
bur26a.dat,TS,6,1,5451731
bur26a.dat,G-2swap,6,2,5438063
bur26a.dat,S-2swap,6,2,5440263
bur26a.dat,SA,6,2,5428397
bur26a.dat,TS,6,2,5435457
bur26a.dat,G-2swap,6,3,5437865
bur26a.dat,S-2swap,6,3,5449287
bur26a.dat,SA,6,3,5434542
bur26a.dat,TS,6,3,5444993
bur26a.dat,G-2swap,6,4,5434279
bur26a.dat,S-2swap,6,4,5438144
bur26a.dat,SA,6,4,5438102
bur26a.dat,TS,6,4,5439419
bur26a.dat,G-2swap,6,5,5446671
bur26a.dat,S-2swap,6,5,5453980
bur26a.dat,SA,6,5,5435335
bur26a.dat,TS,6,5,5439826
bur26a.dat,G-2swap,7,1,5458786
bur26a.dat,S-2swap,7,1,5449299
bur26a.dat,SA,7,1,5438498
bur26a.dat,TS,7,1,5448959
bur26a.dat,G-2swap,7,2,5436986
bur26a.dat,S-2swap,7,2,5428837
bur26a.dat,SA,7,2,5439712
bur26a.dat,TS,7,2,5443438
bur26a.dat,G-2swap,7,3,5443492
bur26a.dat,S-2swap,7,3,5446223
bur26a.dat,SA,7,3,5434555
bur26a.dat,TS,7,3,5437249
bur26a.dat,G-2swap,7,4,5449475
bur26a.dat,S-2swap,7,4,5443477
bur26a.dat,SA,7,4,5432068
bur26a.dat,TS,7,4,5444953
bur26a.dat,G-2swap,7,5,5436893
bur26a.dat,S-2swap,7,5,5466324
bur26a.dat,SA,7,5,5444130
bur26a.dat,TS,7,5,5432449
bur26a.dat,G-2swap,8,1,5463636
bur26a.dat,S-2swap,8,1,5438958
bur26a.dat,SA,8,1,5445274
bur26a.dat,TS,8,1,5446307
bur26a.dat,G-2swap,8,2,5463192
bur26a.dat,S-2swap,8,2,5439078
bur26a.dat,SA,8,2,5434889
bur26a.dat,TS,8,2,5438811
bur26a.dat,G-2swap,8,3,5460681
bur26a.dat,S-2swap,8,3,5436784
bur26a.dat,SA,8,3,5431548
bur26a.dat,TS,8,3,5443311
bur26a.dat,G-2swap,8,4,5446741
bur26a.dat,S-2swap,8,4,5437420
bur26a.dat,SA,8,4,5433135
bur26a.dat,TS,8,4,5435737
bur26a.dat,G-2swap,8,5,5439857
bur26a.dat,S-2swap,8,5,5432936
bur26a.dat,SA,8,5,5432048
bur26a.dat,TS,8,5,5456896
bur26a.dat,G-2swap,9,1,5459667
bur26a.dat,S-2swap,9,1,5447703
bur26a.dat,SA,9,1,5441395
bur26a.dat,TS,9,1,5454877
bur26a.dat,G-2swap,9,2,5441643
bur26a.dat,S-2swap,9,2,5443155
bur26a.dat,SA,9,2,5434652
bur26a.dat,TS,9,2,5426670
bur26a.dat,G-2swap,9,3,5446357
bur26a.dat,S-2swap,9,3,5443905
bur26a.dat,SA,9,3,5436581
bur26a.dat,TS,9,3,5448959
bur26a.dat,G-2swap,9,4,5461082
bur26a.dat,S-2swap,9,4,5451943
bur26a.dat,SA,9,4,5438103
bur26a.dat,TS,9,4,5435118
bur26a.dat,G-2swap,9,5,5458902
bur26a.dat,S-2swap,9,5,5444841
bur26a.dat,SA,9,5,5437593
bur26a.dat,TS,9,5,5436819
bur26a.dat,G-2swap,10,1,5452528
bur26a.dat,S-2swap,10,1,5457907
bur26a.dat,SA,10,1,5431497
bur26a.dat,TS,10,1,5442000
bur26a.dat,G-2swap,10,2,5455972
bur26a.dat,S-2swap,10,2,5441877
bur26a.dat,SA,10,2,5450076
bur26a.dat,TS,10,2,5446792
bur26a.dat,G-2swap,10,3,5476086
bur26a.dat,S-2swap,10,3,5455489
bur26a.dat,SA,10,3,5438760
bur26a.dat,TS,10,3,5448344
bur26a.dat,G-2swap,10,4,5458466
bur26a.dat,S-2swap,10,4,5441930
bur26a.dat,SA,10,4,5438511
bur26a.dat,TS,10,4,5435460
bur26a.dat,G-2swap,10,5,5457139
bur26a.dat,S-2swap,10,5,5435509
bur26a.dat,SA,10,5,5436784
bur26a.dat,TS,10,5,5447737
bur26a.dat,G-2swap,11,1,5444545
bur26a.dat,S-2swap,11,1,5444568
bur26a.dat,SA,11,1,5431434
bur26a.dat,TS,11,1,5435118
bur26a.dat,G-2swap,11,2,5449962
bur26a.dat,S-2swap,11,2,5436031
bur26a.dat,SA,11,2,5435737
bur26a.dat,TS,11,2,5457326
bur26a.dat,G-2swap,11,3,5444070
bur26a.dat,S-2swap,11,3,5439919
bur26a.dat,SA,11,3,5431727
bur26a.dat,TS,11,3,5438085
bur26a.dat,G-2swap,11,4,5436695
bur26a.dat,S-2swap,11,4,5444347
bur26a.dat,SA,11,4,5437323
bur26a.dat,TS,11,4,5440068
bur26a.dat,G-2swap,11,5,5450047
bur26a.dat,S-2swap,11,5,5434405
bur26a.dat,SA,11,5,5434439
bur26a.dat,TS,11,5,5435560
bur26a.dat,G-2swap,12,1,5448873
bur26a.dat,S-2swap,12,1,5441315
bur26a.dat,SA,12,1,5451497
bur26a.dat,TS,12,1,5426670
bur26a.dat,G-2swap,12,2,5434713
bur26a.dat,S-2swap,12,2,5445796
bur26a.dat,SA,12,2,5435428
bur26a.dat,TS,12,2,5435996
bur26a.dat,G-2swap,12,3,5441833
bur26a.dat,S-2swap,12,3,5441156
bur26a.dat,SA,12,3,5459434
bur26a.dat,TS,12,3,5436339
bur26a.dat,G-2swap,12,4,5433809
bur26a.dat,S-2swap,12,4,5439419
bur26a.dat,SA,12,4,5437713
bur26a.dat,TS,12,4,5444633
bur26a.dat,G-2swap,12,5,5442838
bur26a.dat,S-2swap,12,5,5454797
bur26a.dat,SA,12,5,5438293
bur26a.dat,TS,12,5,5449353
bur26a.dat,G-2swap,13,1,5451122
bur26a.dat,S-2swap,13,1,5448149
bur26a.dat,SA,13,1,5434379
bur26a.dat,TS,13,1,5432675
bur26a.dat,G-2swap,13,2,5445634
bur26a.dat,S-2swap,13,2,5448876
bur26a.dat,SA,13,2,5434797
bur26a.dat,TS,13,2,5438387
bur26a.dat,G-2swap,13,3,5439476
bur26a.dat,S-2swap,13,3,5468979
bur26a.dat,SA,13,3,5442530
bur26a.dat,TS,13,3,5441020
bur26a.dat,G-2swap,13,4,5456527
bur26a.dat,S-2swap,13,4,5439244
bur26a.dat,SA,13,4,5437782
bur26a.dat,TS,13,4,5449034
bur26a.dat,G-2swap,13,5,5435591
bur26a.dat,S-2swap,13,5,5447414
bur26a.dat,SA,13,5,5430561
bur26a.dat,TS,13,5,5435652
bur26a.dat,G-2swap,14,1,5443278
bur26a.dat,S-2swap,14,1,5438688
bur26a.dat,SA,14,1,5426670
bur26a.dat,TS,14,1,5426670
bur26a.dat,G-2swap,14,2,5453527
bur26a.dat,S-2swap,14,2,5451514
bur26a.dat,SA,14,2,5436536
bur26a.dat,TS,14,2,5449136
bur26a.dat,G-2swap,14,3,5456726
bur26a.dat,S-2swap,14,3,5444591
bur26a.dat,SA,14,3,5430561
bur26a.dat,TS,14,3,5437205
bur26a.dat,G-2swap,14,4,5460152
bur26a.dat,S-2swap,14,4,5438096
bur26a.dat,SA,14,4,5431727
bur26a.dat,TS,14,4,5444511
bur26a.dat,G-2swap,14,5,5439093
bur26a.dat,S-2swap,14,5,5445455
bur26a.dat,SA,14,5,5446602
bur26a.dat,TS,14,5,5435237
bur26a.dat,G-2swap,15,1,5438844
bur26a.dat,S-2swap,15,1,5433630
bur26a.dat,SA,15,1,5434924
bur26a.dat,TS,15,1,5437531
bur26a.dat,G-2swap,15,2,5443845
bur26a.dat,S-2swap,15,2,5435601
bur26a.dat,SA,15,2,5435603
bur26a.dat,TS,15,2,5439185
bur26a.dat,G-2swap,15,3,5439814
bur26a.dat,S-2swap,15,3,5457324
bur26a.dat,SA,15,3,5426670
bur26a.dat,TS,15,3,5438353
bur26a.dat,G-2swap,15,4,5434590
bur26a.dat,S-2swap,15,4,5449103
bur26a.dat,SA,15,4,5445392
bur26a.dat,TS,15,4,5460606
bur26a.dat,G-2swap,15,5,5446014
bur26a.dat,S-2swap,15,5,5447649
bur26a.dat,SA,15,5,5427776
bur26a.dat,TS,15,5,5453775
bur26a.dat,G-2swap,16,1,5437896
bur26a.dat,S-2swap,16,1,5458946
bur26a.dat,SA,16,1,5438785
bur26a.dat,TS,16,1,5443708
bur26a.dat,G-2swap,16,2,5435935
bur26a.dat,S-2swap,16,2,5436065
bur26a.dat,SA,16,2,5436761
bur26a.dat,TS,16,2,5434636
bur26a.dat,G-2swap,16,3,5469441
bur26a.dat,S-2swap,16,3,5438785
bur26a.dat,SA,16,3,5437738
bur26a.dat,TS,16,3,5434390
bur26a.dat,G-2swap,16,4,5440035
bur26a.dat,S-2swap,16,4,5459253
bur26a.dat,SA,16,4,5445026
bur26a.dat,TS,16,4,5434117
bur26a.dat,G-2swap,16,5,5456984
bur26a.dat,S-2swap,16,5,5436321
bur26a.dat,SA,16,5,5439185
bur26a.dat,TS,16,5,5448739
bur26a.dat,G-2swap,17,1,5433931
bur26a.dat,S-2swap,17,1,5444216
bur26a.dat,SA,17,1,5443911
bur26a.dat,TS,17,1,5436492
bur26a.dat,G-2swap,17,2,5438884
bur26a.dat,S-2swap,17,2,5451156
bur26a.dat,SA,17,2,5450339
bur26a.dat,TS,17,2,5434542
bur26a.dat,G-2swap,17,3,5441496
bur26a.dat,S-2swap,17,3,5431434
bur26a.dat,SA,17,3,5426670
bur26a.dat,TS,17,3,5445206
bur26a.dat,G-2swap,17,4,5454575
bur26a.dat,S-2swap,17,4,5433209
bur26a.dat,SA,17,4,5434623
bur26a.dat,TS,17,4,5441395
bur26a.dat,G-2swap,17,5,5446133
bur26a.dat,S-2swap,17,5,5437480
bur26a.dat,SA,17,5,5436043
bur26a.dat,TS,17,5,5448827
bur26a.dat,G-2swap,18,1,5432995
bur26a.dat,S-2swap,18,1,5441602
bur26a.dat,SA,18,1,5454022
bur26a.dat,TS,18,1,5435935
bur26a.dat,G-2swap,18,2,5449162
bur26a.dat,S-2swap,18,2,5438234
bur26a.dat,SA,18,2,5438013
bur26a.dat,TS,18,2,5444240
bur26a.dat,G-2swap,18,3,5441096
bur26a.dat,S-2swap,18,3,5442187
bur26a.dat,SA,18,3,5438567
bur26a.dat,TS,18,3,5430456
bur26a.dat,G-2swap,18,4,5447293
bur26a.dat,S-2swap,18,4,5438882
bur26a.dat,SA,18,4,5434800
bur26a.dat,TS,18,4,5435737
bur26a.dat,G-2swap,18,5,5452384
bur26a.dat,S-2swap,18,5,5445323
bur26a.dat,SA,18,5,5438402
bur26a.dat,TS,18,5,5436957
bur26a.dat,G-2swap,19,1,5444741
bur26a.dat,S-2swap,19,1,5461400
bur26a.dat,SA,19,1,5435944
bur26a.dat,TS,19,1,5460580
bur26a.dat,G-2swap,19,2,5445138
bur26a.dat,S-2swap,19,2,5450380
bur26a.dat,SA,19,2,5438031
bur26a.dat,TS,19,2,5432486
bur26a.dat,G-2swap,19,3,5473207
bur26a.dat,S-2swap,19,3,5454205
bur26a.dat,SA,19,3,5439786
bur26a.dat,TS,19,3,5432792
bur26a.dat,G-2swap,19,4,5435317
bur26a.dat,S-2swap,19,4,5439340
bur26a.dat,SA,19,4,5433853
bur26a.dat,TS,19,4,5435232
bur26a.dat,G-2swap,19,5,5466013
bur26a.dat,S-2swap,19,5,5436339
bur26a.dat,SA,19,5,5446393
bur26a.dat,TS,19,5,5436046
bur26a.dat,G-2swap,20,1,5438180
bur26a.dat,S-2swap,20,1,5451801
bur26a.dat,SA,20,1,5426670
bur26a.dat,TS,20,1,5437947
bur26a.dat,G-2swap,20,2,5448717
